"","PIG_DATE","PIG","DATE","OUA","WEANING_TIME","STALD","STI","GROUP","Newlytreated","BIRTHSOW","WEEK","SAMPLEWEEK","Florkem","Metacam","Zactran","Antibiotic","Treatment_group","Treatment_date","CorrectedGroup","RWA"
"102-2018-05-24","102-2018-05-24",102,"2018-05-24",0,2,"1","1","2018-04-20","Treated",7886,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"102-2018-05-29","102-2018-05-29",102,"2018-05-29",0,2,"1","1","2018-04-20","Treated",7886,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"102-2018-06-07","102-2018-06-07",102,"2018-06-07",0,2,"1","1","2018-04-20","Treated",7886,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"110-2018-04-25","110-2018-04-25",110,"2018-04-25",0,1,"Farrow","Farrow","2018-04-25","Newlytreated",8107,"T02","Week 02",1,1,0,"Florkem","T02","2018-05-01","2018-04-25","TTT"
"110-2018-05-07","110-2018-05-07",110,"2018-05-07",0,1,"Farrow","Farrow","2018-04-25","Treated",8107,"T02","Week 04",1,1,0,"Florkem","T02","2018-05-01","2018-04-25","TTT"
"110-2018-05-15","110-2018-05-15",110,"2018-05-15",0,1,"8","2","2018-04-25","Treated",8107,"T02","Week 05",1,1,0,"Florkem","T02","2018-05-01","2018-04-25","TTT"
"110-2018-05-24","110-2018-05-24",110,"2018-05-24",0,1,"1","17","2018-04-25","Treated",8107,"T02","Week 06",1,1,0,"Florkem","T02","2018-05-01","2018-04-25","TTT"
"110-2018-05-29","110-2018-05-29",110,"2018-05-29",0,1,"1","71","2018-04-25","Treated",8107,"T02","Week 07",1,1,0,"Florkem","T02","2018-05-01","2018-04-25","TTT"
"110-2018-06-07","110-2018-06-07",110,"2018-06-07",0,1,"1","71","2018-04-25","Treated",8107,"T02","Week 08",1,1,0,"Florkem","T02","2018-05-01","2018-04-25","TTT"
"110-2018-07-05","110-2018-07-05",110,"2018-07-05",0,1,"1","6","2018-04-25","Treated",8107,"T02","Week 14",1,1,0,"Florkem","T02","2018-05-01","2018-04-25","TTT"
"114-2018-05-15","114-2018-05-15",114,"2018-05-15",0,2,"8","1","2018-05-07","Treated",NA,"T04","Week 05",0,0,0,"0","0","0","2018-05-07","TTT"
"114-2018-05-24","114-2018-05-24",114,"2018-05-24",0,2,"1","9","2018-05-07","Treated",NA,"T04","Week 06",0,0,0,"0","0","0","2018-05-07","TTT"
"114-2018-05-29","114-2018-05-29",114,"2018-05-29",0,2,"1","9","2018-05-07","Treated",NA,"T04","Week 07",0,0,0,"0","0","0","2018-05-07","TTT"
"114-2018-06-07","114-2018-06-07",114,"2018-06-07",0,2,"1","91","2018-05-07","Treated",NA,"T04","Week 08",0,0,0,"0","0","0","2018-05-07","TTT"
"114-2018-07-05","114-2018-07-05",114,"2018-07-05",0,2,"3","11","2018-05-07","Treated",NA,"T04","Week 14",0,0,0,"0","0","0","2018-05-07","TTT"
"115-2018-04-25","115-2018-04-25",115,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7098,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"115-2018-05-07","115-2018-05-07",115,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7098,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"115-2018-05-15","115-2018-05-15",115,"2018-05-15",1,3,"1","6","Untreated","Untreated",7098,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"115-2018-05-24","115-2018-05-24",115,"2018-05-24",1,3,"1","6","Untreated","Untreated",7098,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"115-2018-05-29","115-2018-05-29",115,"2018-05-29",1,3,"1","6","Untreated","Untreated",7098,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"115-2018-06-07","115-2018-06-07",115,"2018-06-07",1,3,"1","61","Untreated","Untreated",7098,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"116-2018-05-07","116-2018-05-07",116,"2018-05-07",0,3,"Farrow","Farrow","2018-05-07","Newlytreated",NA,"T04","Week 04",0,0,0,"0","0","0","2018-05-07","TTT"
"116-2018-05-15","116-2018-05-15",116,"2018-05-15",0,3,"8","1","2018-05-07","Treated",NA,"T04","Week 05",0,0,0,"0","0","0","2018-05-07","TTT"
"116-2018-05-29","116-2018-05-29",116,"2018-05-29",0,3,"1","21","2018-05-07","Treated",NA,"T04","Week 07",0,0,0,"0","0","0","2018-05-07","TTT"
"116-2018-06-07","116-2018-06-07",116,"2018-06-07",0,3,"1","21","2018-05-07","Treated",NA,"T04","Week 08",0,0,0,"0","0","0","2018-05-07","TTT"
"116-2018-07-05","116-2018-07-05",116,"2018-07-05",0,3,"3","1","2018-05-07","Treated",NA,"T04","Week 14",0,0,0,"0","0","0","2018-05-07","TTT"
"119-2018-05-07","119-2018-05-07",119,"2018-05-07",0,1,"Farrow","Farrow","2018-05-03","Treated",1,"T03","Week 04",0,0,0,"0","0","0","2018-05-03","TTT"
"119-2018-05-15","119-2018-05-15",119,"2018-05-15",0,1,"8","1","2018-05-03","Treated",1,"T03","Week 05",0,0,0,"0","0","0","2018-05-03","TTT"
"119-2018-05-24","119-2018-05-24",119,"2018-05-24",0,1,"1","17","2018-05-03","Treated",1,"T03","Week 06",0,0,0,"0","0","0","2018-05-03","TTT"
"119-2018-05-29","119-2018-05-29",119,"2018-05-29",0,1,"1","71","2018-05-03","Treated",1,"T03","Week 07",0,0,0,"0","0","0","2018-05-03","TTT"
"119-2018-06-07","119-2018-06-07",119,"2018-06-07",0,1,"1","71","2018-05-03","Treated",1,"T03","Week 08",0,0,0,"0","0","0","2018-05-03","TTT"
"122-2018-05-07","122-2018-05-07",122,"2018-05-07",0,1,"Farrow","Farrow","2018-05-03","Treated",1,"T03","Week 04",0,0,0,"0","0","0","2018-05-03","TTT"
"122-2018-05-15","122-2018-05-15",122,"2018-05-15",0,1,NA,NA,"2018-05-03","Treated",1,"T03","Week 05",0,0,0,"0","0","0","2018-05-03","TTT"
"122-2018-05-24","122-2018-05-24",122,"2018-05-24",0,1,"1","12","2018-05-03","Treated",1,"T03","Week 06",0,0,0,"0","0","0","2018-05-03","TTT"
"122-2018-05-29","122-2018-05-29",122,"2018-05-29",0,1,"1","21","2018-05-03","Treated",1,"T03","Week 07",0,0,0,"0","0","0","2018-05-03","TTT"
"122-2018-06-07","122-2018-06-07",122,"2018-06-07",0,1,"1","21","2018-05-03","Treated",1,"T03","Week 08",0,0,0,"0","0","0","2018-05-03","TTT"
"122-2018-07-05","122-2018-07-05",122,"2018-07-05",0,1,"3","4","2018-05-03","Treated",1,"T03","Week 14",0,0,0,"0","0","0","2018-05-03","TTT"
"126-2018-04-25","126-2018-04-25",126,"2018-04-25",0,1,"Farrow","Farrow","2018-04-20","Treated",8110,"T01","Week 02",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"126-2018-05-15","126-2018-05-15",126,"2018-05-15",0,1,"8","1","2018-04-20","Treated",8110,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"126-2018-05-24","126-2018-05-24",126,"2018-05-24",0,1,"1","17","2018-04-20","Treated",8110,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"126-2018-05-29","126-2018-05-29",126,"2018-05-29",0,1,"1","71","2018-04-20","Treated",8110,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"126-2018-06-07","126-2018-06-07",126,"2018-06-07",0,1,"1","71","2018-04-20","Treated",8110,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"128-2018-04-25","128-2018-04-25",128,"2018-04-25",0,3,"Farrow","Farrow","2018-04-20","Treated",8112,"T01","Week 02",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"128-2018-05-07","128-2018-05-07",128,"2018-05-07",0,3,"Farrow","Farrow","2018-04-20","Treated",8112,"T01","Week 04",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"128-2018-05-15","128-2018-05-15",128,"2018-05-15",0,3,"1","1","2018-04-20","Treated",8112,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"128-2018-05-24","128-2018-05-24",128,"2018-05-24",0,3,"1","1","2018-04-20","Treated",8112,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"128-2018-05-29","128-2018-05-29",128,"2018-05-29",0,3,"1","1","2018-04-20","Treated",8112,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"128-2018-06-07","128-2018-06-07",128,"2018-06-07",0,3,"1","1","2018-04-20","Treated",8112,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"128-2018-07-05","128-2018-07-05",128,"2018-07-05",0,3,"1","5","2018-04-20","Treated",8112,"T01","Week 14",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"129-2018-04-25","129-2018-04-25",129,"2018-04-25",0,1,"Farrow","Farrow","2018-04-20","Treated",8110,"T01","Week 02",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"129-2018-05-07","129-2018-05-07",129,"2018-05-07",0,1,"Farrow","Farrow","2018-04-20","Treated",8110,"T01","Week 04",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"129-2018-05-15","129-2018-05-15",129,"2018-05-15",0,1,"8","1","2018-04-20","Treated",8110,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"129-2018-05-24","129-2018-05-24",129,"2018-05-24",0,1,"1","12","2018-04-20","Treated",8110,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"129-2018-05-29","129-2018-05-29",129,"2018-05-29",0,1,"1","21","2018-04-20","Treated",8110,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"129-2018-06-07","129-2018-06-07",129,"2018-06-07",0,1,"1","21","2018-04-20","Treated",8110,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"129-2018-07-05","129-2018-07-05",129,"2018-07-05",0,1,"3","6","2018-04-20","Treated",8110,"T01","Week 14",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"130-2018-04-25","130-2018-04-25",130,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",8110,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"130-2018-05-07","130-2018-05-07",130,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",8110,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"130-2018-05-15","130-2018-05-15",130,"2018-05-15",1,2,"8","1","Untreated","Untreated",8110,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"130-2018-05-24","130-2018-05-24",130,"2018-05-24",1,2,"1","12","Untreated","Untreated",8110,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"130-2018-05-29","130-2018-05-29",130,"2018-05-29",1,2,"1","21","Untreated","Untreated",8110,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"130-2018-06-07","130-2018-06-07",130,"2018-06-07",1,2,"1","21","Untreated","Untreated",8110,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"130-2018-07-05","130-2018-07-05",130,"2018-07-05",1,2,"2","61","Untreated","Untreated",8110,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"135-2018-04-25","135-2018-04-25",135,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",7643,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"135-2018-05-07","135-2018-05-07",135,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",7643,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"135-2018-05-15","135-2018-05-15",135,"2018-05-15",1,2,"1","1","Untreated","Untreated",7643,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"135-2018-05-24","135-2018-05-24",135,"2018-05-24",1,2,"1","1","Untreated","Untreated",7643,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"135-2018-05-29","135-2018-05-29",135,"2018-05-29",1,2,"1","1","Untreated","Untreated",7643,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"135-2018-06-07","135-2018-06-07",135,"2018-06-07",1,2,"1","1","Untreated","Untreated",7643,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"135-2018-07-05","135-2018-07-05",135,"2018-07-05",1,2,"1","61","Untreated","Untreated",7643,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"138-2018-05-15","138-2018-05-15",138,"2018-05-15",0,3,"1","5","2018-04-20","Treated",NA,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"138-2018-05-24","138-2018-05-24",138,"2018-05-24",0,3,"1","5","2018-04-20","Treated",NA,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"138-2018-05-29","138-2018-05-29",138,"2018-05-29",0,3,"1","5","2018-04-20","Treated",NA,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"138-2018-06-07","138-2018-06-07",138,"2018-06-07",0,3,"1","5","2018-04-20","Treated",NA,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"140-2018-04-25","140-2018-04-25",140,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",7643,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"140-2018-05-07","140-2018-05-07",140,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",7643,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"140-2018-05-15","140-2018-05-15",140,"2018-05-15",1,2,"1","2","Untreated","Untreated",7643,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"140-2018-05-24","140-2018-05-24",140,"2018-05-24",1,2,"1","2","Untreated","Untreated",7643,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"140-2018-05-29","140-2018-05-29",140,"2018-05-29",1,2,"1","2","Untreated","Untreated",7643,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"140-2018-06-07","140-2018-06-07",140,"2018-06-07",1,2,"1","2","Untreated","Untreated",7643,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"140-2018-07-05","140-2018-07-05",140,"2018-07-05",1,2,"1","51","Untreated","Untreated",7643,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"145-2018-04-25","145-2018-04-25",145,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",7643,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"145-2018-05-07","145-2018-05-07",145,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",7643,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"145-2018-05-15","145-2018-05-15",145,"2018-05-15",1,2,"1","2","Untreated","Untreated",7643,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"145-2018-05-24","145-2018-05-24",145,"2018-05-24",1,2,"1","2","Untreated","Untreated",7643,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"145-2018-05-29","145-2018-05-29",145,"2018-05-29",1,2,"1","7","Untreated","Untreated",7643,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"145-2018-06-07","145-2018-06-07",145,"2018-06-07",1,2,"1","2","Untreated","Untreated",7643,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"145-2018-07-05","145-2018-07-05",145,"2018-07-05",1,2,"1","61","Untreated","Untreated",7643,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"15-2018-04-25","15-2018-04-25",15,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7857,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"15-2018-05-07","15-2018-05-07",15,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7857,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"15-2018-05-15","15-2018-05-15",15,"2018-05-15",1,3,"1","3","Untreated","Untreated",7857,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"15-2018-05-29","15-2018-05-29",15,"2018-05-29",1,3,"1","3","Untreated","Untreated",7857,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"15-2018-06-07","15-2018-06-07",15,"2018-06-07",1,3,"1","3","Untreated","Untreated",7857,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"15-2018-07-05","15-2018-07-05",15,"2018-07-05",1,3,"1","4","Untreated","Untreated",7857,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"155-2018-04-25","155-2018-04-25",155,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7888,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"155-2018-05-07","155-2018-05-07",155,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7888,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"155-2018-05-15","155-2018-05-15",155,"2018-05-15",1,3,"1","4","Untreated","Untreated",7888,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"155-2018-05-29","155-2018-05-29",155,"2018-05-29",1,3,"1","4","Untreated","Untreated",7888,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"155-2018-06-07","155-2018-06-07",155,"2018-06-07",1,3,"1","4","Untreated","Untreated",7888,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"155-2018-07-05","155-2018-07-05",155,"2018-07-05",1,3,"1","61","Untreated","Untreated",7888,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"156-2018-04-25","156-2018-04-25",156,"2018-04-25",0,3,"Farrow","Farrow","2018-04-20","Treated",7888,"T01","Week 02",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"156-2018-05-15","156-2018-05-15",156,"2018-05-15",0,3,"1","8","2018-04-20","Treated",7888,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"156-2018-05-24","156-2018-05-24",156,"2018-05-24",0,3,"1","8","2018-04-20","Treated",7888,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"156-2018-05-29","156-2018-05-29",156,"2018-05-29",0,3,"1","8","2018-04-20","Treated",7888,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"156-2018-06-07","156-2018-06-07",156,"2018-06-07",0,3,"1","81","2018-04-20","Treated",7888,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"156-2018-07-05","156-2018-07-05",156,"2018-07-05",0,3,"3","51","2018-04-20","Treated",7888,"T01","Week 14",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"16-2018-04-25","16-2018-04-25",16,"2018-04-25",0,3,"Farrow","Farrow","2018-04-25","Newlytreated",7857,"T02","Week 02",0,0,0,"0","0","0","2018-04-25","TTT"
"16-2018-05-07","16-2018-05-07",16,"2018-05-07",0,3,"Farrow","Farrow","2018-04-25","Treated",7857,"T02","Week 04",0,0,0,"0","0","0","2018-04-25","TTT"
"16-2018-05-24","16-2018-05-24",16,"2018-05-24",0,3,"1","3","2018-04-25","Treated",7857,"T02","Week 06",0,0,0,"0","0","0","2018-04-25","TTT"
"16-2018-05-29","16-2018-05-29",16,"2018-05-29",0,3,"1","3","2018-04-25","Treated",7857,"T02","Week 07",0,0,0,"0","0","0","2018-04-25","TTT"
"16-2018-06-07","16-2018-06-07",16,"2018-06-07",0,3,"1","31","2018-04-25","Treated",7857,"T02","Week 08",0,0,0,"0","0","0","2018-04-25","TTT"
"160-2018-04-25","160-2018-04-25",160,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7888,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"160-2018-05-07","160-2018-05-07",160,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7888,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"160-2018-05-15","160-2018-05-15",160,"2018-05-15",1,3,"1","4","Untreated","Untreated",7888,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"160-2018-05-24","160-2018-05-24",160,"2018-05-24",1,3,"1","4","Untreated","Untreated",7888,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"160-2018-05-29","160-2018-05-29",160,"2018-05-29",1,3,"1","4","Untreated","Untreated",7888,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"160-2018-06-07","160-2018-06-07",160,"2018-06-07",1,3,"1","4","Untreated","Untreated",7888,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"160-2018-07-05","160-2018-07-05",160,"2018-07-05",1,3,"1","6","Untreated","Untreated",7888,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"165-2018-04-25","165-2018-04-25",165,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7868,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"165-2018-05-15","165-2018-05-15",165,"2018-05-15",1,3,"1","5","Untreated","Untreated",7868,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"165-2018-05-24","165-2018-05-24",165,"2018-05-24",1,3,"1","5","Untreated","Untreated",7868,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"165-2018-05-29","165-2018-05-29",165,"2018-05-29",1,3,"1","5","Untreated","Untreated",7868,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"165-2018-06-07","165-2018-06-07",165,"2018-06-07",1,3,"1","5","Untreated","Untreated",7868,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"165-2018-07-05","165-2018-07-05",165,"2018-07-05",1,3,"1","4","Untreated","Untreated",7868,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"166-2018-05-29","166-2018-05-29",166,"2018-05-29",0,3,"1","4","2018-05-07","Treated",NA,"T02","Week 07",1,1,0,"Florkem","T02","2018-04-26","2018-04-26","TTT"
"166-2018-06-07","166-2018-06-07",166,"2018-06-07",0,3,"1","4","2018-05-07","Treated",NA,"T02","Week 08",1,1,0,"Florkem","T02","2018-04-26","2018-04-26","TTT"
"166-2018-07-05","166-2018-07-05",166,"2018-07-05",0,3,"1","4","2018-05-07","Treated",NA,"T02","Week 14",1,1,0,"Florkem","T02","2018-04-26","2018-04-26","TTT"
"170-2018-04-25","170-2018-04-25",170,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",8108,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"170-2018-05-07","170-2018-05-07",170,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",8108,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"170-2018-05-15","170-2018-05-15",170,"2018-05-15",1,2,"1","8","Untreated","Untreated",8108,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"170-2018-05-24","170-2018-05-24",170,"2018-05-24",1,2,"1","8","Untreated","Untreated",8108,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"170-2018-05-29","170-2018-05-29",170,"2018-05-29",1,2,"1","8","Untreated","Untreated",8108,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"170-2018-06-07","170-2018-06-07",170,"2018-06-07",1,2,"1","61","Untreated","Untreated",8108,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"170-2018-07-05","170-2018-07-05",170,"2018-07-05",1,2,"1","31","Untreated","Untreated",8108,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"171-2018-05-15","171-2018-05-15",171,"2018-05-15",0,3,"1","8","2018-05-15","Newlytreated",NA,"T05","Week 05",0,0,0,"0","0","0","2018-05-15","TTT"
"171-2018-05-24","171-2018-05-24",171,"2018-05-24",0,3,"1","8","2018-05-15","Treated",NA,"T05","Week 06",0,0,0,"0","0","0","2018-05-15","TTT"
"171-2018-05-29","171-2018-05-29",171,"2018-05-29",0,3,"1","8","2018-05-15","Treated",NA,"T05","Week 07",0,0,0,"0","0","0","2018-05-15","TTT"
"171-2018-06-07","171-2018-06-07",171,"2018-06-07",0,3,"1","81","2018-05-15","Treated",NA,"T05","Week 08",0,0,0,"0","0","0","2018-05-15","TTT"
"171-2018-07-05","171-2018-07-05",171,"2018-07-05",0,3,"3","1","2018-05-15","Treated",NA,"T05","Week 14",0,0,0,"0","0","0","2018-05-15","TTT"
"173-2018-05-07","173-2018-05-07",173,"2018-05-07",0,2,"Farrow","Farrow","2018-05-07","Newlytreated",1,"T04","Week 04",0,0,0,"0","0","0","2018-05-07","TTT"
"173-2018-05-15","173-2018-05-15",173,"2018-05-15",0,2,"1","8","2018-05-07","Treated",1,"T04","Week 05",0,0,0,"0","0","0","2018-05-07","TTT"
"173-2018-05-24","173-2018-05-24",173,"2018-05-24",0,2,"1","8","2018-05-07","Treated",1,"T04","Week 06",0,0,0,"0","0","0","2018-05-07","TTT"
"173-2018-05-29","173-2018-05-29",173,"2018-05-29",0,2,"1","8","2018-05-07","Treated",1,"T04","Week 07",0,0,0,"0","0","0","2018-05-07","TTT"
"173-2018-06-07","173-2018-06-07",173,"2018-06-07",0,2,"1","81","2018-05-07","Treated",1,"T04","Week 08",0,0,0,"0","0","0","2018-05-07","TTT"
"175-2018-04-25","175-2018-04-25",175,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",8108,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"175-2018-05-07","175-2018-05-07",175,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",8108,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
