"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Strain"
"Bacteria_Actinobacteriota_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_NA","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","NA",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_longicatena","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","longicatena",""
"Bacteria_Verrucomicrobiota_Chlamydiae_Chlamydiales_Chlamydiaceae_Chlamydia_suis","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Chlamydiaceae","Chlamydia","suis",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_cf./prausnitzii","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","cf./prausnitzii",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_obeum","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","obeum",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group_NA.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","NA.1",""
"Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_muciniphila","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.1","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002","NA.1",""
"Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Escherichia-Shigella_NA.1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","NA.1",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA.5",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_NA_NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","NA","NA",""
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_altitudinis/amyloliquefaciens/firmus/halotolerans/intestinalis/licheniformis/mojavensis/siamensis/subtilis/tequilensis/timonensis/vallismortis/velezensis/xiamenensis","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","altitudinis/amyloliquefaciens/firmus/halotolerans/intestinalis/licheniformis/mojavensis/siamensis/subtilis/tequilensis/timonensis/vallismortis/velezensis/xiamenensis",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Fournierella_NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Fournierella","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.1",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.1",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.2","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum","NA.2",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_suis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","suis",""
"Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobrevibacter_NA","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","NA",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_amylovorus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","amylovorus",""
"Bacteria_Actinobacteriota_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_NA.1","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","NA.1",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.2",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_catus","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","catus",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_vaginalis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","vaginalis",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_pontis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","pontis",""
"Bacteria_Fusobacteriota_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_gastrosuis","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","gastrosuis",""
"Bacteria_Firmicutes_Bacilli_Staphylococcales_Staphylococcaceae_Staphylococcus_argenteus/aureus/equorum/phage/schweitzeri/simiae","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","argenteus/aureus/equorum/phage/schweitzeri/simiae",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA.6",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_[Eubacterium] coprostanoligenes group_NA_NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","NA","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.2",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","NA",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.1","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","NA.1",""
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium sensu stricto 1_tertium","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","tertium",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.3","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum","NA.3",""
"Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group_NA","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.3",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_formicigenerans","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","formicigenerans",""
"Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group_NA.1","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group","NA.1",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_massiliensis","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","massiliensis",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae Sedis_NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis","NA",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Listeriaceae_Listeria_innocua/ivanovii/marthii/monocytogenes/phage/seeligeri/welshimeri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","innocua/ivanovii/marthii/monocytogenes/phage/seeligeri/welshimeri",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae UCG-003_NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003","NA",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.1","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","NA.1",""
"Bacteria_Firmicutes_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium_succinatutens.1","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","succinatutens.1",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.4","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum","NA.4",""
"Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Salmonella_enterica/phage/virus","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","enterica/phage/virus",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.5","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum","NA.5",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group_NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group","NA",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.4","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.4",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.5",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.2","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","NA.2",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_[Eubacterium] fissicatena group_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] fissicatena group","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.1","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","prausnitzii.1",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_denticanum/pyogenes","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","denticanum/pyogenes",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Oscillospira_NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospira","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group_NA.2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","NA.2",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae XPB1014 group_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae XPB1014 group","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.2","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002","NA.2",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae ND3007 group_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae ND3007 group","NA",""
"Bacteria_Actinobacteriota_Actinobacteria_Actinomycetales_Actinomycetaceae_Mobiluncus_NA","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_[Eubacterium] coprostanoligenes group_NA_NA.1","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","NA","NA.1",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Marvinbryantia_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_dgA-11 gut group_NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11 gut group","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group_NA.1","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group","NA.1",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_fermentum/mucosae","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","fermentum/mucosae",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae RC9 gut group_NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group","NA",""
"Bacteria_Firmicutes_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium_NA.1","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","NA.1",""
"Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Atopobiaceae_Olsenella_NA","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","NA",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter_saccharivorans","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","saccharivorans",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.6",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA.7",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.7",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_[Ruminococcus] gauvreauii group_NA.1","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] gauvreauii group","NA.1",""
"Bacteria_Firmicutes_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Megasphaera_elsdenii/hominis","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera","elsdenii/hominis",""
"Bacteria_Patescibacteria_Saccharimonadia_Saccharimonadales_Saccharimonadaceae_Candidatus Saccharimonas_NA","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Candidatus Saccharimonas","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bromii","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","bromii",""
"Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group_NA.2","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group","NA.2",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae UCG-009_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-009","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.3",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Oribacterium_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Oribacterium","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.8","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.8",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.1","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","NA.1",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.4","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.4",""
"Bacteria_Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Treponema_NA","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema","NA",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.5",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.9","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.9",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_[Eubacterium] coprostanoligenes group_NA_NA.2","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","NA","NA.2",""
